iter	Passed	Remaining
0	155	30948
1	159	15765
2	164	10820
3	170	8352
4	175	6858
5	180	5846
6	184	5098
7	188	4530
8	192	4084
9	195	3723
10	199	3421
11	202	3172
12	206	2965
13	209	2782
14	212	2623
15	216	2487
16	219	2366
17	223	2260
18	227	2163
19	231	2080
20	234	2000
21	238	1933
22	242	1869
23	246	1810
24	250	1751
25	254	1700
26	257	1650
27	261	1603
28	264	1559
29	267	1517
30	271	1479
31	274	1442
32	278	1407
33	281	1375
34	285	1344
35	288	1314
36	292	1286
37	295	1259
38	299	1234
39	302	1210
40	306	1187
41	309	1164
42	312	1142
43	318	1129
44	322	1109
45	325	1089
46	328	1069
47	332	1052
48	335	1034
49	338	1016
50	342	1000
51	345	984
52	349	969
53	353	955
54	356	940
55	360	926
56	363	912
57	367	899
58	370	886
59	374	873
60	377	861
61	381	848
62	384	837
63	388	825
64	392	814
65	396	804
66	399	793
67	403	782
68	406	772
69	410	762
70	413	751
71	416	741
72	420	731
73	424	721
74	427	712
75	430	702
76	434	693
77	437	684
78	441	675
79	444	667
80	448	659
81	452	651
82	456	643
83	460	635
84	463	627
85	467	619
86	470	611
87	474	603
88	477	595
89	480	587
90	484	580
91	488	572
92	491	565
93	495	558
94	498	551
95	502	544
96	506	537
97	509	530
98	512	523
99	516	516
100	520	510
101	524	503
102	527	497
103	531	490
104	535	484
105	539	478
106	542	471
107	545	464
108	549	458
109	552	452
110	556	445
111	559	439
112	563	433
113	566	427
114	570	421
115	573	415
116	577	409
117	580	403
118	584	397
119	587	391
120	590	385
121	594	379
122	597	374
123	601	368
124	604	362
125	607	356
126	611	351
127	614	345
128	618	340
129	621	334
130	625	329
131	628	323
132	631	318
133	635	312
134	639	307
135	642	302
136	646	297
137	650	292
138	653	286
139	657	281
140	660	276
141	664	271
142	668	266
143	671	261
144	675	256
145	678	251
146	682	245
147	686	241
148	689	236
149	693	231
150	696	225
151	699	220
152	703	216
153	706	211
154	710	206
155	714	201
156	717	196
157	721	191
158	724	186
159	727	181
160	731	177
161	735	172
162	738	167
163	742	162
164	745	158
165	749	153
166	753	148
167	756	144
168	759	139
169	763	134
170	767	130
171	771	125
172	775	120
173	779	116
174	782	111
175	786	107
176	789	102
177	793	98
178	797	93
179	800	88
180	803	84
181	807	79
182	810	75
183	814	70
184	817	66
185	821	61
186	825	57
187	828	52
188	831	48
189	835	43
190	838	39
191	842	35
192	845	30
193	849	26
194	852	21
195	855	17
196	859	13
197	862	8
198	865	4
199	869	0
