iter	Logloss
0	0.6142062934
1	0.5635739658
2	0.5136669301
3	0.476465413
4	0.4540741355
5	0.4347609216
6	0.4106501087
7	0.397430578
8	0.3845474739
9	0.3774648658
10	0.3689691918
11	0.3617691421
12	0.3564762469
13	0.3526191873
14	0.3479989439
15	0.3437449401
16	0.3412287852
17	0.3390078875
18	0.3365178371
19	0.333914715
20	0.3323238623
21	0.3297198489
22	0.3279104426
23	0.3266205107
24	0.3245361443
25	0.322737634
26	0.3215533278
27	0.3199334093
28	0.3190050309
29	0.318221435
30	0.317426253
31	0.3161044379
32	0.3150207548
33	0.3141831673
34	0.3132946933
35	0.3124923526
36	0.3116118997
37	0.3107193719
38	0.3099849376
39	0.3094198377
40	0.3085348711
41	0.308088794
42	0.3071674593
43	0.3067019477
44	0.3060317972
45	0.3053536831
46	0.3048087653
47	0.3045706621
48	0.3041517821
49	0.3037174349
50	0.3032502558
51	0.3026645138
52	0.3020789155
53	0.3013084006
54	0.3009357497
55	0.3004374637
56	0.2999553635
57	0.2997465848
58	0.2995729092
59	0.2991751025
60	0.2988506646
61	0.298578407
62	0.2982696088
63	0.2978017971
64	0.2974451598
65	0.2971966205
66	0.2964863932
67	0.2961187736
68	0.2957511251
69	0.2954506355
70	0.295086782
71	0.2947796225
72	0.2944541209
73	0.2943201483
74	0.2940363046
75	0.2937129017
76	0.2933800976
77	0.2930683957
78	0.2927319117
79	0.292440047
80	0.2918721584
81	0.2916146493
82	0.2911126833
83	0.2908647477
84	0.2902939554
85	0.2899096898
86	0.2895741258
87	0.2893634496
88	0.2891760605
89	0.2890227107
90	0.2887178799
91	0.2884570358
92	0.2881762684
93	0.2876469329
94	0.2873238749
95	0.2867515589
96	0.2862137998
97	0.2856869942
98	0.2853210133
99	0.2851927618
100	0.2849525886
101	0.2845042117
102	0.284140157
103	0.2838314737
104	0.2835601936
105	0.2831957939
106	0.2830507815
107	0.282754978
108	0.2824132904
109	0.2821336442
110	0.2819151481
111	0.2816453917
112	0.2813836851
113	0.2811318684
114	0.2804318472
115	0.2801434036
116	0.2798727272
117	0.2797138
118	0.2793739236
119	0.2791580725
120	0.2787136917
121	0.2785267913
122	0.2781806475
123	0.2778275751
124	0.2775622461
125	0.2772331795
126	0.277023337
127	0.2767005378
128	0.2765297946
129	0.2763406805
130	0.2759903393
131	0.2756900796
132	0.2754061497
133	0.2750611559
134	0.2747591138
135	0.2745192569
136	0.2743629459
137	0.2742486955
138	0.2740544639
139	0.2737774052
140	0.273551348
141	0.2733912996
142	0.2731695548
143	0.2728678002
144	0.272613856
145	0.2722267442
146	0.2719427855
147	0.2715389128
148	0.2711503922
149	0.2709467021
150	0.2706224079
151	0.2703136385
152	0.270115382
153	0.2698577004
154	0.269518859
155	0.269166304
156	0.2688310275
157	0.2685172557
158	0.2683335752
159	0.267943301
160	0.2676546561
161	0.2674972527
162	0.2672521058
163	0.2669492875
164	0.2666412368
165	0.2665030955
166	0.2662432577
167	0.2659269846
168	0.2657502903
169	0.2655885457
170	0.2653127806
171	0.2651266564
172	0.2648337567
173	0.2644513023
174	0.2641001848
175	0.2635938489
176	0.2633709254
177	0.2630892092
178	0.2628484323
179	0.2626049529
180	0.2623796144
181	0.2621459673
182	0.2618789996
183	0.2616282466
184	0.2613811161
185	0.2610791315
186	0.260949615
187	0.2606860398
188	0.2601653003
189	0.2599693726
190	0.2594895724
191	0.2593409376
192	0.2590882296
193	0.2588726085
194	0.2586756745
195	0.2584386638
196	0.2582718305
197	0.2579141294
198	0.2576415556
199	0.257464315
