iter	Passed	Remaining
0	145	28968
1	147	14650
2	150	9906
3	153	7500
4	155	6078
5	158	5123
6	160	4427
7	163	3916
8	165	3515
9	168	3197
10	170	2930
11	172	2705
12	174	2511
13	177	2354
14	180	2226
15	184	2125
16	188	2032
17	192	1942
18	194	1857
19	198	1783
20	200	1707
21	202	1639
22	204	1577
23	207	1518
24	209	1464
25	211	1413
26	213	1367
27	215	1323
28	217	1282
29	219	1243
30	221	1206
31	223	1171
32	225	1139
33	227	1109
34	229	1081
35	231	1055
36	233	1030
37	235	1005
38	238	982
39	240	960
40	242	940
41	244	921
42	247	903
43	250	887
44	252	869
45	254	852
46	256	835
47	258	819
48	260	803
49	262	788
50	265	774
51	267	760
52	269	746
53	271	733
54	273	720
55	275	708
56	277	696
57	279	684
58	281	672
59	283	661
60	285	650
61	287	640
62	289	630
63	292	621
64	294	612
65	296	602
66	299	593
67	301	584
68	303	576
69	305	567
70	307	558
71	310	551
72	312	543
73	314	535
74	316	527
75	318	519
76	320	512
77	322	504
78	325	497
79	327	490
80	329	483
81	331	477
82	333	470
83	335	463
84	337	457
85	340	450
86	342	444
87	344	438
88	346	432
89	348	426
90	351	420
91	353	414
92	355	408
93	357	402
94	359	397
95	361	391
96	363	386
97	365	380
98	367	375
99	369	369
100	371	364
101	373	358
102	375	353
103	377	348
104	379	343
105	382	338
106	384	333
107	386	328
108	388	323
109	390	319
110	392	314
111	394	310
112	397	306
113	400	302
114	403	298
115	405	293
116	408	289
117	409	284
118	412	280
119	414	276
120	416	271
121	418	267
122	420	263
123	422	258
124	424	254
125	426	250
126	428	246
127	431	242
128	433	238
129	435	234
130	437	230
131	439	226
132	441	222
133	443	218
134	445	214
135	448	210
136	450	206
137	452	203
138	454	199
139	456	195
140	458	191
141	460	188
142	462	184
143	464	180
144	467	177
145	469	173
146	471	170
147	473	166
148	476	162
149	478	159
150	480	155
151	482	152
152	484	148
153	486	145
154	489	142
155	492	138
156	494	135
157	496	132
158	498	128
159	500	125
160	503	121
161	505	118
162	508	115
163	510	112
164	512	108
165	514	105
166	516	102
167	519	98
168	521	95
169	523	92
170	525	89
171	527	85
172	529	82
173	531	79
174	534	76
175	537	73
176	539	70
177	541	66
178	543	63
179	545	60
180	547	57
181	550	54
182	552	51
183	554	48
184	556	45
185	558	42
186	560	38
187	562	35
188	565	32
189	567	29
190	569	26
191	571	23
192	573	20
193	575	17
194	578	14
195	580	11
196	582	8
197	584	5
198	586	2
199	589	0
